,0,1,2,3,4
0,[[0.5]],1,0,[[0.65926035]],False
1,[[0.65926035]],0,0,[[0.46008515]],False
2,[[0.46008515]],1,0,[[0.41580944]],False
3,[[0.41580944]],0,0,[[0.5099989]],False
4,[[0.5099989]],2,0.20000076293945312,[[0.65021831]],False
5,[[0.65021831]],1,0,[[0.44028688]],False
6,[[0.44028688]],0,0,[[0.68783071]],False
7,[[0.68783071]],1,0,[[0.32739355]],False
8,[[0.32739355]],2,0.15000152587890625,[[0.20751003]],False
9,[[0.20751003]],1,0,[[0.46505721]],False
10,[[0.46505721]],0,0,[[0.43045314]],False
11,[[0.43045314]],1,0,[[0.10340047]],False
12,[[0.10340047]],1,0,[[0.34978169]],False
13,[[0.34978169]],2,0,[[0.77902582]],True
